id входа;id;начальная ставка;депозит после цикла;Время;порядковый номер шага;результат
10080;10082;0,20;42,7338;28 08:37;3;выигрыш
10097;10097;0,20;43,5678;28 08:42;1;выигрыш
10235;10249;0,20;43,7914;28 09:35;15;выигрыш
10304;10308;0,20;43,9922;28 09:55;5;выигрыш
10337;10341;0,20;44,1930;28 10:04;5;выигрыш
10408;10413;0,20;44,4040;28 10:29;6;выигрыш
10461;10465;0,20;44,6048;28 10:50;5;выигрыш
10532;10534;0,20;45,0388;28 11:13;3;выигрыш
10655;10658;0,20;45,2728;28 11:56;4;выигрыш
10750;10752;0,20;45,7068;28 12:25;3;выигрыш
10886;10890;0,20;45,9076;28 13:13;5;выигрыш
10942;10942;0,20;46,7416;28 13:31;1;выигрыш
11115;11122;0,20;46,9498;28 14:32;8;выигрыш
11224;11225;0,20;47,5838;28 15:09;2;выигрыш
11299;11303;0,20;47,7846;28 15:38;5;выигрыш
11421;11437;0,20;31,4746;28 16:27;17;стоп
11531;11531;0,20;32,3086;28 17:02;1;выигрыш
11703;11704;0,20;32,9426;28 18:06;2;выигрыш
11962;11962;0,20;33,7766;28 19:39;1;выигрыш
11994;11996;0,20;34,2106;28 19:52;3;выигрыш
12120;12135;0,20;34,4392;28 20:37;16;выигрыш
12237;12240;0,20;34,6732;28 21:12;4;выигрыш
12282;12291;0,20;34,8939;28 21:28;10;выигрыш
12306;12308;0,20;35,3279;28 21:33;3;выигрыш
12402;12405;0,20;35,5619;28 22:05;4;выигрыш
12428;12431;0,20;35,7959;28 22:14;4;выигрыш
12463;12464;0,20;36,4299;28 22:25;2;выигрыш
12497;12508;0,20;36,6452;28 22:38;12;выигрыш
12531;12536;0,20;36,8562;28 22:47;6;выигрыш
12664;12668;0,20;37,0570;28 23:33;5;выигрыш
12799;12814;0,20;37,2856;29 00:25;16;выигрыш
12855;12861;0,20;37,4885;29 00:39;7;выигрыш
12923;12929;0,20;37,6914;29 01:01;7;выигрыш
12959;12961;0,20;38,1254;29 01:09;3;выигрыш
13050;13058;0,20;38,3323;29 01:41;9;выигрыш
13173;13182;0,20;38,5530;29 02:22;10;выигрыш
13198;13199;0,20;39,1870;29 02:27;2;выигрыш
13352;13353;0,20;39,8210;29 03:20;2;выигрыш
13508;13514;0,20;40,0239;29 04:16;7;выигрыш
13750;13754;0,20;40,2247;29 05:42;5;выигрыш
13813;13813;0,20;41,0587;29 06:01;1;выигрыш
13929;13931;0,20;41,4927;29 06:46;3;выигрыш
13951;13951;0,20;42,3267;29 06:52;1;выигрыш
13975;13975;0,20;43,1607;29 07:01;1;выигрыш
14000;14002;0,20;43,5947;29 07:10;3;выигрыш
14022;14031;0,20;43,8154;29 07:19;10;выигрыш
14063;14063;0,20;44,6494;29 07:31;1;выигрыш
14107;14108;0,20;45,2834;29 07:46;2;выигрыш
14277;14281;0,20;45,4842;29 08:44;5;выигрыш
14446;14446;0,20;46,3182;29 09:45;1;выигрыш
14475;14484;0,20;46,5389;29 09:54;10;выигрыш
14539;14539;0,20;47,3729;29 10:12;1;выигрыш
14578;14585;0,20;47,5811;29 10:30;8;выигрыш
14663;14663;0,20;48,4151;29 10:57;1;выигрыш
14707;14707;0,20;49,2491;29 11:13;1;выигрыш
14856;14865;0,20;49,4698;29 12:05;10;выигрыш
15087;15088;0,20;50,1038;29 13:25;2;выигрыш
15149;15153;0,20;50,3046;29 13:50;5;выигрыш
15316;15317;0,20;50,9386;29 14:51;2;выигрыш
15332;15337;0,20;51,1496;29 14:55;6;выигрыш
15412;15415;0,20;51,3836;29 15:27;4;выигрыш
15557;15566;0,20;51,6043;29 16:22;10;выигрыш
15671;15680;0,20;51,8250;29 17:04;10;выигрыш
15699;15701;0,20;52,2590;29 17:10;3;выигрыш
15765;15771;0,20;52,4619;29 17:34;7;выигрыш
15788;15790;0,20;52,8959;29 17:41;3;выигрыш
15906;15911;0,20;53,1069;29 18:29;6;выигрыш
15948;15951;0,20;53,3409;29 18:44;4;выигрыш
16050;16051;0,20;53,9749;29 19:24;2;выигрыш
16149;16151;0,20;54,4089;29 19:57;3;выигрыш
16225;16227;0,20;54,8429;29 20:23;3;выигрыш
16430;16430;0,20;55,6769;29 21:34;1;выигрыш
16447;16450;0,20;55,9109;29 21:40;4;выигрыш
16481;16497;0,20;39,6009;29 21:55;17;стоп
16538;16541;0,20;39,8349;29 22:10;4;выигрыш
16649;16650;0,20;40,4689;29 22:48;2;выигрыш
16676;16679;0,20;40,7029;29 22:58;4;выигрыш
16736;16738;0,20;41,1369;29 23:20;3;выигрыш
16986;16999;0,20;41,3725;30 00:49;14;выигрыш
17047;17047;0,20;42,2065;30 01:07;1;выигрыш
17072;17075;0,20;42,4405;30 01:16;4;выигрыш
17131;17140;0,20;42,6612;30 01:36;10;выигрыш
17166;17168;0,20;43,0952;30 01:46;3;выигрыш
17214;17216;0,20;43,5292;30 02:03;3;выигрыш
17248;17250;0,20;43,9632;30 02:15;3;выигрыш
17357;17357;0,20;44,7972;30 02:52;1;выигрыш
17427;17432;0,20;45,0082;30 03:19;6;выигрыш
17493;17505;0,20;45,2177;30 03:47;13;выигрыш
17666;17671;0,20;45,4287;30 04:47;6;выигрыш
17718;17720;0,20;45,8627;30 05:06;3;выигрыш
17740;17747;0,20;46,0709;30 05:12;8;выигрыш
17885;17892;0,20;46,2791;30 06:06;8;выигрыш
17965;17971;0,20;46,4820;30 06:34;7;выигрыш
18112;18112;0,20;47,3160;30 07:25;1;выигрыш
18142;18158;0,20;47,5500;30 07:40;17;выигрыш
18242;18242;0,20;48,3840;30 08:08;1;выигрыш
18273;18280;0,20;48,5922;30 08:20;8;выигрыш
18325;18327;0,20;49,0262;30 08:35;3;выигрыш
18506;18508;0,20;49,4602;30 09:39;3;выигрыш
18544;18551;0,20;49,6684;30 09:52;8;выигрыш
18676;18679;0,20;49,9024;30 10:39;4;выигрыш
