id входа;id;начальная ставка;депозит после цикла;Время;порядковый номер шага;результат;депозит до цикла;полный стоп;3 стопа;3 стопа % депозита
77407;77410;4,21;430,8456;14 02:59;4;выигрыш;426,1304;92,18;276,54;64,8956
77473;77475;4,26;439,8768;14 03:19;3;выигрыш;430,8456;93,30;279,90;64,9653
77508;77512;4,35;444,2304;14 03:31;5;выигрыш;439,8768;95,27;285,81;64,9750
77768;77774;4,39;448,6592;14 05:04;7;выигрыш;444,2304;96,18;288,54;64,9528
77982;77985;4,43;453,6208;14 06:19;4;выигрыш;448,6592;97,04;291,12;64,8867
78151;78159;4,48;458,1384;14 07:18;9;выигрыш;453,6208;98,11;294,33;64,8846
78397;78398;4,53;472,2720;14 08:37;2;выигрыш;458,1384;99,22;297,66;64,9716
78537;78537;4,67;491,5124;14 09:25;1;выигрыш;472,2720;102,28;306,84;64,9710
78904;78911;4,86;496,3920;14 11:42;8;выигрыш;491,5124;106,46;319,38;64,9790
79226;79228;4,91;506,8012;14 13:31;3;выигрыш;496,3920;107,51;322,53;64,9749
79328;79328;5,01;527,4424;14 14:11;1;выигрыш;506,8012;109,74;329,22;64,9604
79467;79468;5,21;543,6976;14 15:05;2;выигрыш;527,4424;114,08;342,24;64,8867
80162;80162;5,38;565,8632;14 19:05;1;выигрыш;543,6976;117,80;353,40;64,9994
80414;80415;5,59;583,3040;14 20:45;2;выигрыш;565,8632;122,43;367,29;64,9079
80572;80573;5,77;601,3064;14 21:34;2;выигрыш;583,3040;126,36;379,08;64,9884
81805;81806;5,94;619,8392;15 04:49;2;выигрыш;601,3064;130,06;390,18;64,8887
82442;82445;6,13;626,7048;15 08:22;4;выигрыш;619,8392;134,23;402,69;64,9668
83080;83080;6,19;652,2076;15 12:11;1;выигрыш;626,7048;135,56;406,68;64,8918
83157;83166;6,45;658,6728;15 12:39;10;выигрыш;652,2076;141,21;423,63;64,9532
83329;83337;6,51;665,2160;15 13:35;9;выигрыш;658,6728;142,57;427,71;64,9351
83461;83471;6,58;521,1260;15 14:22;11;стоп;665,2160;144,09;432,27;64,9819
83515;83516;5,15;537,1940;15 14:37;2;выигрыш;521,1260;112,78;338,34;64,9248
83549;83549;5,31;559,0712;15 14:47;1;выигрыш;537,1940;116,28;348,84;64,9374
84769;84769;5,53;581,8548;15 21:57;1;выигрыш;559,0712;121,12;363,36;64,9935
85777;85782;5,75;587,6364;16 03:50;6;выигрыш;581,8548;125,90;377,70;64,9131
86005;86010;5,81;593,4688;16 05:03;6;выигрыш;587,6364;127,25;381,75;64,9636
86063;86065;5,87;605,9132;16 05:21;3;выигрыш;593,4688;128,55;385,65;64,9824
86535;86535;5,99;630,5920;16 08:05;1;выигрыш;605,9132;131,16;393,48;64,9400
87539;87543;6,23;636,8604;16 14:11;5;выигрыш;630,5920;136,41;409,23;64,8962
87919;87919;6,30;662,8164;16 16:29;1;выигрыш;636,8604;137,97;413,91;64,9923
87945;87950;6,55;669,3720;16 16:38;6;выигрыш;662,8164;143,40;430,20;64,9049
88241;88251;6,62;524,4020;16 18:24;11;стоп;669,3720;144,97;434,91;64,9728
89682;89688;5,18;529,6184;17 02:49;7;выигрыш;524,4020;113,47;340,41;64,9139
89810;89810;5,24;551,2072;17 03:32;1;выигрыш;529,6184;114,75;344,25;64,9996
90385;90385;5,45;573,6612;17 06:51;1;выигрыш;551,2072;119,36;358,08;64,9629
90800;90808;5,67;579,3628;17 09:22;9;выигрыш;573,6612;124,21;372,63;64,9565
91194;91198;5,73;585,1180;17 11:38;5;выигрыш;579,3628;125,51;376,53;64,9904
92026;92028;5,78;597,3716;17 16:32;3;выигрыш;585,1180;126,56;379,68;64,8895
92150;92153;5,90;603,9796;17 17:15;4;выигрыш;597,3716;129,23;387,69;64,8993
92212;92222;5,97;473,2296;17 17:39;11;стоп;603,9796;130,75;392,25;64,9442
92331;92332;4,68;487,8312;17 18:18;2;выигрыш;473,2296;102,50;307,50;64,9790
